"comparison","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","HTLV-I infection","enriched",0.0095639,54,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-24-3p (#49, logFC=0.258); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-28-5p (#56, logFC=0.261); hsa-let-7g-5p (#57, logFC=0.234); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-106b-5p (#64, logFC=0.207); hsa-miR-193b-3p (#65, logFC=0.203); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-28-3p (#73, logFC=0.135); hsa-miR-487b-3p (#75, logFC=0.152); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-27b-3p (#86, logFC=0.053); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-324-3p (#110, logFC=-0.072); hsa-miR-30a-3p (#112, logFC=-0.134); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-95-3p (#118, logFC=-0.227); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-17-5p (#143, logFC=-0.428); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-10b-5p (#164, logFC=-1.245); hsa-miR-93-5p (#165, logFC=-0.659); hsa-miR-23b-3p (#169, logFC=-0.643); hsa-miR-15b-5p (#170, logFC=-0.770)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Non-small cell lung cancer","enriched",0.0096001,47,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-24-3p (#49, logFC=0.258); hsa-miR-16-5p (#52, logFC=0.316); hsa-let-7g-5p (#57, logFC=0.234); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-193b-3p (#65, logFC=0.203); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-28-3p (#73, logFC=0.135); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-331-3p (#121, logFC=-0.189); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-148b-3p (#150, logFC=-0.497); hsa-miR-10b-5p (#164, logFC=-1.245); hsa-miR-93-5p (#165, logFC=-0.659); hsa-miR-23b-3p (#169, logFC=-0.643); hsa-miR-15b-5p (#170, logFC=-0.770); hsa-let-7a-5p (#173, logFC=-0.884); hsa-let-7b-5p (#176, logFC=-1.039)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Colorectal cancer","enriched",0.0096272,42,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-16-5p (#52, logFC=0.316); hsa-let-7g-5p (#57, logFC=0.234); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-106b-5p (#64, logFC=0.207); hsa-miR-193b-3p (#65, logFC=0.203); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-20a-5p (#70, logFC=0.177); hsa-miR-409-3p (#71, logFC=0.180); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-487b-3p (#75, logFC=0.152); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-425-5p (#102, logFC=-0.031); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-17-5p (#143, logFC=-0.428); hsa-miR-151a-5p (#151, logFC=-0.503); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-93-5p (#165, logFC=-0.659); hsa-miR-15b-5p (#170, logFC=-0.770)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Ras signaling pathway","enriched",0.0153932,27,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-27b-3p (#86, logFC=0.053); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-23b-3p (#169, logFC=-0.643)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","TNF signaling pathway","enriched",0.0159124,26,"hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-98-5p (#116, logFC=-0.151); hsa-miR-125b-5p (#136, logFC=-0.285)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Apoptosis","enriched",0.0168131,28,"hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30e-5p (#10, logFC=0.867); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-30d-5p (#31, logFC=0.405); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-106b-5p (#64, logFC=0.207); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-17-5p (#143, logFC=-0.428); hsa-miR-151a-5p (#151, logFC=-0.503); hsa-miR-10b-5p (#164, logFC=-1.245)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","Toll-like receptor signaling pathway","enriched",0.0168131,18,"hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074)"
"EDAD_gt70_vs_40_60","KEGG (miRPathDB)","B cell receptor signaling pathway","enriched",0.0196509,23,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-409-3p (#71, logFC=0.180); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-7-5p (#85, logFC=0.088); hsa-miR-30a-3p (#112, logFC=-0.134); hsa-miR-30e-3p (#120, logFC=-0.197); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-let-7a-5p (#173, logFC=-0.884)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Signaling by Receptor Tyrosine Kinases","enriched",0.0028268,36,"hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-194-5p (#50, logFC=0.369); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-15b-5p (#170, logFC=-0.770)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","AKT-mediated inactivation of FOXO1A","enriched",0.0031881,7,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-222-3p (#38, logFC=0.404)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","AKT phosphorylates targets in the cytosol","enriched",0.0031881,17,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-152-3p (#114, logFC=-0.164)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","SUMOylation of DNA methylation proteins","enriched",0.0048558,8,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-29c-5p (#20, logFC=0.678); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-194-5p (#50, logFC=0.369)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Collagen formation","enriched",0.0075025,5,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-29b-3p (#26, logFC=0.553)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Signaling by NTRK2 TRKB","enriched",0.0089686,8,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-139-5p (#80, logFC=0.140)"
