Category	Subcategory	Enrichment	P-value	P-adjusted	Q-value	Observed	miRNAs/precursors	database	cluster	cluster_rep	reduction_method
KEGG (miRPathDB)	Calcium signaling pathway	depleted	0.0310186	0.1533756	0.1533756	10	hsa-miR-301a-5p; hsa-miR-219a-5p; hsa-miR-6886-3p; hsa-miR-6850-3p; hsa-miR-133a-3p; hsa-miR-1246; hsa-miR-1268a; hsa-miR-143-3p; hsa-miR-532-3p; hsa-miR-490-5p	KEGG	11	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Carbohydrate digestion and absorption	enriched	0.374775	0.4541212	0.4541212	14	hsa-miR-4999-5p; hsa-miR-10b-5p; hsa-miR-125b-5p; hsa-miR-708-5p; hsa-miR-4746-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-7-5p; hsa-miR-1322; hsa-miR-126-3p; hsa-miR-125a-5p; hsa-miR-143-3p; hsa-miR-184; hsa-miR-941	KEGG	6	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Carbon metabolism	enriched	0.246129	0.3981346	0.3981346	10	hsa-miR-200b-5p; hsa-miR-125b-5p; hsa-miR-6733-3p; hsa-miR-1260b; hsa-miR-200a-5p; hsa-miR-615-3p; hsa-miR-7114-5p; hsa-miR-483-3p; hsa-miR-484; hsa-miR-125a-5p	KEGG	5	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Circadian entrainment	enriched	0.0025962	0.0325532	0.0325532	11	hsa-miR-196b-5p; hsa-miR-6821-5p; hsa-miR-585-3p; hsa-miR-6786-3p; hsa-miR-219b-5p; hsa-miR-1268b; hsa-miR-9-3p; hsa-miR-664a-3p; hsa-miR-1-3p; hsa-miR-550a-3p; hsa-miR-1268a	KEGG	7	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Circadian rhythm	depleted	0.0773508	0.2366135	0.2366135	13	hsa-miR-182-5p; hsa-let-7f-2-3p; hsa-miR-33b-3p; hsa-miR-4471; hsa-miR-519e-3p; hsa-miR-483-3p; hsa-miR-203a-3p; hsa-miR-6772-3p; hsa-miR-34b-5p; hsa-miR-515-3p; hsa-miR-154-3p; hsa-miR-101-3p; hsa-miR-1290	KEGG	12	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Cysteine and methionine metabolism	enriched	0.146424	0.3132485	0.3132485	13	hsa-miR-193b-3p; hsa-miR-200b-3p; hsa-miR-6732-3p; hsa-miR-29b-3p; hsa-miR-5585-5p; hsa-miR-29a-3p; hsa-miR-6740-5p; hsa-miR-29b-1-5p; hsa-miR-340-5p; hsa-miR-1298-3p; hsa-miR-29c-5p; hsa-miR-200c-3p; hsa-miR-369-5p	KEGG	8	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Cytokine-cytokine receptor interaction	depleted	0.211569	0.3676829	0.3676829	21	hsa-miR-21-5p; hsa-miR-181d-3p; hsa-miR-223-3p; hsa-miR-335-5p; hsa-miR-98-5p; hsa-miR-34a-5p; hsa-miR-29b-3p; hsa-miR-4804-5p; hsa-miR-1277-3p; hsa-miR-518a-3p; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-126-3p; hsa-miR-503-3p; hsa-miR-199a-5p; hsa-miR-184; hsa-miR-130a-3p; hsa-miR-34c-5p; hsa-miR-381-5p; hsa-miR-135b-5p	KEGG	13	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Dopaminergic synapse	depleted	0.0678847	0.2201285	0.2201285	17	hsa-miR-196b-5p; hsa-miR-6503-3p; hsa-miR-219b-5p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-142-3p; hsa-miR-466; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-126-3p; hsa-miR-125a-5p; hsa-miR-143-3p; hsa-miR-184; hsa-miR-409-5p; hsa-miR-33a-3p; hsa-miR-494-3p; hsa-miR-206	KEGG	3	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Dorso-ventral axis formation	depleted	0.000540078	0.0116423	0.0116423	29	hsa-miR-196b-5p; hsa-miR-542-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-34a-5p; hsa-miR-9-3p; hsa-miR-1-3p; hsa-miR-3157-5p; hsa-miR-30a-3p; hsa-miR-30e-3p; hsa-miR-146a-5p; hsa-miR-30d-3p; hsa-miR-326; hsa-miR-550a-3p; hsa-miR-27a-3p; hsa-miR-181a-5p; hsa-miR-27b-3p; hsa-miR-543; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-181c-5p; hsa-miR-433-3p; hsa-miR-23b-3p; hsa-miR-34c-5p; hsa-miR-483-5p; hsa-miR-101-3p; hsa-miR-494-3p; hsa-miR-206; hsa-miR-199a-3p	KEGG	14	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Epithelial cell signaling in Helicobacter pylori infection	depleted	0.0235953	0.1306174	0.1306174	23	hsa-miR-221-3p; hsa-miR-155-5p; hsa-miR-98-5p; hsa-miR-200b-3p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-33b-5p; hsa-miR-1-3p; hsa-miR-425-3p; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-let-7g-5p; hsa-miR-194-5p; hsa-miR-139-5p; hsa-miR-200c-3p; hsa-let-7a-5p; hsa-miR-34c-5p; hsa-miR-574-3p; hsa-miR-145-5p	KEGG	16	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Gastric acid secretion	enriched	0.60953	0.6184334	0.6184334	11	hsa-miR-196b-5p; hsa-miR-219b-5p; hsa-miR-191-3p; hsa-miR-219a-5p; hsa-miR-1-3p; hsa-miR-7-5p; hsa-miR-3682-3p; hsa-miR-6870-3p; hsa-miR-1268a; hsa-miR-184; hsa-miR-490-5p	KEGG	9	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	GnRH signaling pathway	depleted	0.0044751	0.0474746	0.0474746	33	hsa-miR-196b-5p; hsa-miR-585-3p; hsa-miR-1909-3p; hsa-miR-193a-3p; hsa-let-7c-3p; hsa-miR-6786-3p; hsa-miR-452-5p; hsa-miR-1268b; hsa-miR-219a-5p; hsa-miR-208b-3p; hsa-miR-19a-3p; hsa-miR-7-5p; hsa-miR-451a; hsa-miR-892b; hsa-miR-133b; hsa-miR-203a-3p; hsa-miR-204-5p; hsa-miR-550a-3p; hsa-miR-133a-3p; hsa-miR-27a-3p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-miR-181a-5p; hsa-miR-668-3p; hsa-miR-132-3p; hsa-miR-1268a; hsa-miR-4632-3p; hsa-miR-143-3p; hsa-miR-433-3p; hsa-miR-23b-3p; hsa-miR-214-3p; hsa-miR-145-5p; hsa-miR-124-3p	KEGG	17	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Herpes simplex infection	enriched	0.177237	0.3411432	0.3411432	19	hsa-miR-450a-5p; hsa-miR-21-5p; hsa-miR-887-3p; hsa-miR-223-3p; hsa-miR-155-5p; hsa-miR-935; hsa-miR-98-5p; hsa-miR-152-3p; hsa-miR-34a-5p; hsa-miR-451a; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-125a-5p; hsa-miR-139-5p; hsa-miR-30c-5p; hsa-miR-107; hsa-miR-15b-5p; hsa-miR-381-5p; hsa-miR-30d-5p	KEGG	10	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Hippo signaling pathway	depleted	5.88741e-06	0.000415537196129032	0.000415537196129032	75	hsa-miR-1295a; hsa-miR-21-5p; hsa-miR-221-3p; hsa-miR-6505-5p; hsa-miR-708-5p; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-3661; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-148a-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-374b-5p; hsa-miR-6740-5p; hsa-miR-891b; hsa-let-7a-3p; hsa-miR-200a-5p; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-6750-5p; hsa-miR-302a-5p; hsa-miR-4668-5p; hsa-miR-934; hsa-miR-30a-3p; hsa-miR-93-5p; hsa-miR-154-5p; hsa-miR-765; hsa-miR-30e-3p; hsa-miR-15a-5p; hsa-miR-146a-5p; hsa-miR-30d-3p; hsa-miR-203a-3p; hsa-miR-590-5p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-204-5p; hsa-miR-326; hsa-miR-6772-3p; hsa-miR-4677-3p; hsa-miR-27a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-497-5p; hsa-miR-224-5p; hsa-miR-18a-5p; hsa-miR-181a-5p; hsa-miR-503-3p; hsa-miR-378a-3p; hsa-miR-199a-5p; hsa-miR-323a-5p; hsa-miR-143-3p; hsa-miR-195-5p; hsa-miR-548t-3p; hsa-miR-15b-5p; hsa-miR-205-5p; hsa-miR-548aa; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-487b-3p; hsa-miR-3648; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-miR-101-3p; hsa-miR-33a-3p; hsa-miR-494-3p; hsa-miR-574-3p; hsa-miR-145-5p; hsa-miR-493-3p; hsa-miR-34c-3p; hsa-miR-323a-3p; hsa-miR-135b-5p; hsa-miR-31-5p	KEGG	18	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Huntingtons disease	depleted	0.505266	0.5340041	0.5340041	10	hsa-miR-3173-5p; hsa-miR-34a-5p; hsa-miR-146b-3p; hsa-miR-125b-1-3p; hsa-miR-615-3p; hsa-miR-30a-5p; hsa-miR-628-3p; hsa-miR-125a-5p; hsa-miR-574-3p; hsa-miR-206	KEGG	19	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Inflammatory bowel disease IBD	depleted	0.149043	0.3149158	0.3149158	16	hsa-miR-146b-5p; hsa-miR-21-5p; hsa-miR-223-3p; hsa-miR-155-5p; hsa-miR-148a-3p; hsa-miR-29b-3p; hsa-miR-29b-1-5p; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-590-5p; hsa-miR-200a-3p; hsa-miR-503-3p; hsa-miR-199a-5p; hsa-miR-143-3p; hsa-miR-145-5p; hsa-miR-323a-3p	KEGG	6	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Legionellosis	enriched	0.234286	0.3879733	0.3879733	11	hsa-miR-146b-5p; hsa-miR-21-5p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-34a-5p; hsa-miR-6740-5p; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-449a; hsa-miR-26b-5p; hsa-miR-105-5p	KEGG	11	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Long-term potentiation	depleted	0.0215752	0.1229676	0.1229676	19	hsa-miR-196b-5p; hsa-miR-585-3p; hsa-miR-1911-5p; hsa-miR-1268b; hsa-miR-9-3p; hsa-miR-211-5p; hsa-miR-19a-3p; hsa-miR-518f-3p; hsa-miR-204-5p; hsa-miR-550a-3p; hsa-miR-126-3p; hsa-miR-181a-5p; hsa-miR-1268a; hsa-miR-543; hsa-miR-518b; hsa-miR-143-3p; hsa-miR-23b-3p; hsa-miR-494-3p; hsa-miR-145-5p	KEGG	21	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	MicroRNAs in cancer	depleted	1.09196e-10	2.38920848e-07	2.38920848e-07	205	hsa-miR-24-2-5p; hsa-miR-196b-5p; hsa-miR-96-5p; hsa-miR-585-3p; hsa-miR-193a-3p; hsa-miR-6734-3p; hsa-miR-4999-5p; hsa-miR-182-5p; hsa-let-7c-3p; hsa-miR-5581-3p; hsa-miR-6885-3p; hsa-miR-146b-5p; hsa-miR-21-5p; hsa-miR-6874-3p; hsa-miR-10b-5p; hsa-miR-200b-5p; hsa-miR-100-5p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-183-5p; hsa-miR-16-2-3p; hsa-miR-223-3p; hsa-miR-301a-5p; hsa-miR-16-1-3p; hsa-miR-664b-5p; hsa-miR-708-5p; hsa-miR-3609; hsa-miR-6818-5p; hsa-miR-155-5p; hsa-miR-193b-3p; hsa-miR-541-5p; hsa-miR-135a-5p; hsa-miR-222-3p; hsa-miR-98-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-452-5p; hsa-miR-21-3p; hsa-miR-429; hsa-miR-144-5p; hsa-miR-25-3p; hsa-miR-365a-3p; hsa-miR-34a-5p; hsa-miR-1268b; hsa-miR-185-5p; hsa-miR-33b-5p; hsa-miR-148a-3p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-125b-1-3p; hsa-miR-219a-5p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-153-3p; hsa-miR-211-5p; hsa-miR-29b-1-5p; hsa-miR-624-5p; hsa-let-7a-3p; hsa-miR-6733-5p; hsa-miR-1271-5p; hsa-miR-663a; hsa-miR-200a-5p; hsa-miR-503-5p; hsa-miR-138-5p; hsa-miR-340-5p; hsa-miR-144-3p; hsa-miR-208b-3p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-181b-5p; hsa-miR-7-5p; hsa-miR-4500; hsa-miR-6730-3p; hsa-miR-19b-1-5p; hsa-miR-512-5p; hsa-miR-4524b-5p; hsa-miR-519d-3p; hsa-miR-572; hsa-miR-6875-5p; hsa-miR-1233-5p; hsa-miR-448; hsa-miR-30a-3p; hsa-miR-93-5p; hsa-miR-33a-5p; hsa-miR-106a-5p; hsa-miR-339-3p; hsa-miR-425-5p; hsa-miR-32-5p; hsa-miR-3529-3p; hsa-miR-451a; hsa-miR-892b; hsa-miR-30e-3p; hsa-miR-133b; hsa-miR-196a-5p; hsa-miR-628-3p; hsa-miR-15a-5p; hsa-let-7i-5p; hsa-miR-106b-5p; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-208a-3p; hsa-miR-30d-3p; hsa-miR-203a-3p; hsa-let-7f-5p; hsa-miR-3144-3p; hsa-miR-134-5p; hsa-miR-449a; hsa-let-7c-5p; hsa-miR-7845-5p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-204-5p; hsa-miR-326; hsa-miR-126-3p; hsa-miR-133a-3p; hsa-miR-4524a-5p; hsa-miR-27a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-92a-3p; hsa-miR-497-5p; hsa-miR-29c-5p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-let-7g-5p; hsa-miR-499a-5p; hsa-miR-181a-5p; hsa-miR-4458; hsa-miR-27b-3p; hsa-miR-145-3p; hsa-miR-18b-5p; hsa-miR-378a-3p; hsa-miR-504-5p; hsa-miR-132-3p; hsa-miR-1268a; hsa-miR-142-5p; hsa-miR-140-5p; hsa-miR-1181; hsa-miR-491-5p; hsa-miR-148b-3p; hsa-miR-330-3p; hsa-miR-95-3p; hsa-miR-718; hsa-miR-543; hsa-miR-194-5p; hsa-miR-148b-5p; hsa-miR-139-5p; hsa-miR-4632-3p; hsa-miR-20a-5p; hsa-miR-199a-5p; hsa-miR-30c-5p; hsa-miR-20b-5p; hsa-miR-200c-3p; hsa-miR-195-3p; hsa-miR-181c-5p; hsa-miR-143-3p; hsa-miR-518c-3p; hsa-miR-107; hsa-miR-141-3p; hsa-miR-17-5p; hsa-miR-26a-5p; hsa-miR-195-5p; hsa-miR-433-3p; hsa-let-7a-5p; hsa-miR-184; hsa-miR-129-2-3p; hsa-miR-15b-5p; hsa-miR-23b-3p; hsa-miR-205-5p; hsa-miR-369-5p; hsa-let-7e-5p; hsa-miR-17-3p; hsa-miR-128-3p; hsa-miR-379-3p; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-191-5p; hsa-miR-487b-3p; hsa-miR-3648; hsa-miR-24-3p; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-let-7b-5p; hsa-miR-3158-5p; hsa-miR-214-3p; hsa-miR-31-3p; hsa-miR-101-3p; hsa-miR-494-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-376c-3p; hsa-let-7d-5p; hsa-miR-34b-3p; hsa-miR-218-5p; hsa-miR-124-3p; hsa-miR-199a-3p; hsa-miR-323a-3p; hsa-miR-490-5p; hsa-miR-105-5p; hsa-miR-135b-5p; hsa-miR-31-5p	KEGG	1	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Oocyte meiosis	depleted	0.435911	0.4902278	0.4902278	44	hsa-miR-196b-5p; hsa-miR-193a-3p; hsa-miR-6786-3p; hsa-miR-3616-3p; hsa-miR-100-5p; hsa-miR-488-5p; hsa-miR-223-3p; hsa-miR-6505-5p; hsa-miR-193b-3p; hsa-miR-1911-5p; hsa-miR-144-5p; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-10a-3p; hsa-miR-9-3p; hsa-miR-29a-3p; hsa-miR-1276; hsa-miR-4508; hsa-miR-624-5p; hsa-miR-340-5p; hsa-miR-10b-3p; hsa-miR-30a-5p; hsa-miR-302a-5p; hsa-miR-466; hsa-miR-638; hsa-miR-196a-5p; hsa-miR-15a-5p; hsa-miR-598-3p; hsa-miR-187-3p; hsa-miR-424-5p; hsa-miR-550a-3p; hsa-miR-16-5p; hsa-miR-497-5p; hsa-miR-92a-1-5p; hsa-miR-143-3p; hsa-miR-26a-5p; hsa-miR-195-5p; hsa-miR-15b-5p; hsa-let-7e-5p; hsa-miR-885-5p; hsa-let-7b-5p; hsa-miR-33a-3p; hsa-miR-494-3p; hsa-miR-493-3p	KEGG	22	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Pathogenic Escherichia coli infection	depleted	0.294832	0.4138524	0.4138524	33	hsa-miR-1295a; hsa-miR-221-3p; hsa-miR-708-5p; hsa-miR-3688-3p; hsa-miR-193b-3p; hsa-miR-200b-3p; hsa-miR-429; hsa-miR-144-5p; hsa-miR-25-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-340-5p; hsa-miR-4471; hsa-miR-208b-3p; hsa-miR-30a-5p; hsa-miR-6875-5p; hsa-miR-1233-5p; hsa-miR-1180-3p; hsa-miR-505-3p; hsa-let-7i-5p; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-92a-3p; hsa-miR-200c-3p; hsa-miR-548t-3p; hsa-miR-423-5p; hsa-let-7e-5p; hsa-miR-548aa; hsa-miR-744-5p; hsa-let-7b-5p; hsa-miR-34c-3p; hsa-miR-124-3p	KEGG	23	TRUE	Jaccard_hclust_average_t0.25
KEGG (miRPathDB)	Phagosome	enriched	0.169362	0.3316009	0.3316009	13	hsa-miR-152-3p; hsa-miR-365a-3p; hsa-miR-1-3p; hsa-miR-152-5p; hsa-miR-4471; hsa-miR-208b-3p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-6750-5p; hsa-miR-30a-3p; hsa-miR-146a-5p; hsa-miR-1273c; hsa-miR-18a-5p	KEGG	12	TRUE	Jaccard_hclust_average_t0.25
